,robotiq_force_sensor.wrench.force.norm.dividedby10,robotiq_force_sensor.wrench.torque.norm.dividedby0.4,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0,baxter_enpoint_pose.twist.linear.norm.dividedby0.4,baxter_enpoint_pose.twist.angular.norm,baxter_enpoint_pose.twist.linear.x,baxter_enpoint_pose.twist.linear.y,baxter_enpoint_pose.twist.linear.z,baxter_enpoint_pose.twist.angular.x,baxter_enpoint_pose.twist.angular.y,baxter_enpoint_pose.twist.angular.z
1526716849.45,0.4801788053659584,1.4938680740265737,-0.06009999275207527,-0.3053999981284141,-0.3608999633789062,0.05461999893188477,0.023540000021457674,0.005540000125765801,0.032900966665443,0.02403599013916176,0.002875020672462713,0.010676925710773614,0.0017776797513457837,0.014259893322058584,-0.008524957566087305,0.005529497616650996
1526716849.55,0.493556290524037,1.5540509349781504,-0.06709998130798348,-0.3191999968886375,-0.36529991149902336,0.05695999979972839,0.024279999732971194,0.0052200001478195195,0.03066519045901341,0.022874722503024428,0.0017206628126062266,0.010430521432124962,0.0008481812564000428,0.012907630476312536,-0.004654565545158204,0.00596262996266375
1526716849.65,0.5129759993080735,1.6056907008819343,-0.09649997711181649,-0.33479999631643287,-0.37109992980957024,0.05896000027656555,0.024839999675750735,0.005420000106096268,0.03260381309879054,0.022320285125258296,0.004017047540575798,0.009944112469288348,0.0019486609599343666,0.008884624795579263,-0.008377895488108212,0.008702594932860477
1526716849.75,0.5271515681664941,1.6676389915353356,-0.0912999916076661,-0.3251999959349632,-0.3970999526977538,0.06136000037193298,0.025559999644756318,0.005400000065565108,0.037295477116873664,0.02464081664644309,0.004874309853170973,0.005075444657214816,0.0025817244459731404,0.005576428640389081,-0.009612042373526785,-0.001146752790482989
1526716849.85,0.5199428543080196,1.7057592616710069,-0.09750000000000009,-0.30239999860525124,-0.4058999252319335,0.06296000123023987,0.02581999957561493,0.004800000041723252,0.03419688657786926,0.023020260962168283,0.005452818027550006,0.0022741361768537543,0.003070247151030046,0.002312416969862018,-0.01106081847941501,-0.0018754226059516784
1526716849.95,0.5089946053056673,1.7160581471846519,-0.11090000152587899,-0.285199998319149,-0.40309986114501944,0.06318000197410584,0.02641999959945679,0.004500000029802323,0.025397619532371556,0.01936660056471003,0.0028854398682914982,-0.0038407867056020513,0.0004312084464311583,-0.0010146302748686906,-0.00584892967628638,-0.0036240253270571217
1526716850.05,0.4998350788492185,1.7206135915140184,-0.07090000152587898,-0.2617999991774559,-0.4096998977661132,0.06336000204086303,0.026480000019073482,0.00438000001013279,0.02792859485254076,0.019646519695422388,0.003771927570603114,-0.0073583033060854956,-0.000971501020866106,-9.545881768561278e-05,-0.005793733569671095,-0.009985956399819878
1526716850.15,0.5016997432577165,1.7365622422218037,-0.04310000419616707,-0.2546000012755394,-0.4236999130249023,0.06408000111579895,0.026439999938011167,0.004240000024437905,0.028304125503734002,0.019670833493341578,0.0029093078571341903,-0.00838512134923317,-0.002567076527268678,-0.0009070583062892202,-0.0036904227200229723,-0.00946333807508338
1526716850.25,0.46392747879366286,1.7334278313514686,-0.0386999988555909,-0.22080000087618826,-0.3974999237060546,0.06388000130653382,0.026719999909400938,0.0034400000050663956,0.030932582696014538,0.01961738222430222,-0.003303619842776175,-0.005194985200165354,-0.005234199184405646,-0.002253372796614639,0.0054136024817707795,-0.0029759192149515887
1526716850.35,0.4441172811068326,1.754493596550952,-0.03730000495910652,-0.2099999992549419,-0.3804999542236327,0.0644600009918213,0.027500000000000004,0.003520000018179417,0.035261230691501756,0.019954721929893112,-0.0024415342782384527,-0.002498090213304024,-0.00440681111060041,-0.0017328994573072025,0.006450000259866097,-0.004568328660707473
1526716850.45,0.4521446890683388,1.7777997861842079,-0.05329999923706062,-0.23199999973177904,-0.3690999603271483,0.06514000058174133,0.028199999928474433,0.00398000005632639,0.03392010559768536,0.020835934516895284,-0.00041752952048050584,-0.0008882205415601517,-0.0019922358585031863,-0.003856458271457191,0.0011986653380141577,-0.006118901596704169
1526716850.55,0.45875163527775603,1.7952358569684814,-0.10890000343322762,-0.2536000005900859,-0.3532999420166014,0.06570000052452088,0.02863999962806702,0.0041600000485777855,0.03786624107967644,0.02519218124610193,0.0016539462409439001,0.000383413990725571,0.0018323866040165907,-0.0018751125847816259,-0.005726398000311002,-0.006615476602857626
1526716850.65,0.43437126996061726,1.8048152882467436,-0.14470000267028818,-0.251999999731779,-0.307899932861328,0.06582000136375427,0.029339999556541443,0.0041600000485777855,0.048695166350097796,0.03737164444998706,0.004792696484590403,0.006903426256134357,0.001267892214553276,0.01064138708228991,-0.014811634422847716,-0.0011599212744688127
1526716850.75,0.47020671312502166,1.8512056673828505,-0.17329999923706063,-0.3127999982237815,-0.29869995117187487,0.06736000061035156,0.030359999537467958,0.004840000048279763,0.057326385909804295,0.04382046150194589,0.012438963819169192,0.014463453324130394,0.004289054466172473,0.023696772403264715,-0.02916578941331482,0.0007244696637116943
1526716850.85,0.43897333765167607,1.837420683924215,-0.18569999694824227,-0.2819999975711107,-0.2696999359130858,0.06670000076293946,0.030399999618530273,0.005280000045895577,0.05990925783981071,0.048282360568774475,0.00841188668073366,0.015546842017246727,0.003640349328468549,0.020755426800109614,-0.025175591286379292,0.01117139502323776
1526716850.95,0.38900224917892523,1.7649666698186437,-0.19609999656677254,-0.2359999973326921,-0.22309997558593733,0.06424000024795533,0.02873999953269958,0.005380000025033951,0.05823810848222902,0.0454121897266087,0.006687274034784691,0.01493053032308237,0.0027262101824229662,0.02106920998094316,-0.021998941852662223,0.012189324580156221
1526716851.05,0.35802194827566025,1.7064347905766197,-0.20010000228881844,-0.21619999714195726,-0.1861000061035155,0.06248000025749208,0.026719999611377717,0.005659999996423722,0.058821335778144426,0.04455785537171593,0.002820595315100932,0.011815205314159912,-0.0015303870143496387,0.016747141772679212,-0.011925711610048453,0.01073923941638299
1526716851.15,0.34877510098565623,1.6434573221563298,-0.20450000762939463,-0.21079999752342699,-0.16769996643066393,0.060759999752044686,0.024079999923706054,0.005700000002980233,0.055615515163014516,0.034981961869013894,0.003241320239512588,0.0054265897616335235,0.002112473283549213,0.00633309760413635,-0.008174982540140579,0.0051462485837926895
1526716851.25,0.27600787704990126,1.5506995752399235,-0.17030001640319833,-0.16059999890625473,-0.12449996948242173,0.05794000029563904,0.0211599999666214,0.005240000039339067,0.049010077143932865,0.03191002039147006,-0.004571066772961878,-0.0037541602274396776,-0.0018740507324046165,-0.008349785297647613,0.009136152318256804,0.0034697429913641466
1526716851.35,0.2568298624293731,1.5073303400058848,-0.1607000160217286,-0.16439999878406522,-0.09829994201660143,0.05700000047683716,0.018759999871253968,0.005300000011920929,0.04176571419942335,0.02662393120210396,-0.0026411059653436183,-0.006020971121687563,-0.0016607143465443553,-0.004571478433207368,0.0067765802401981825,-0.004700449720994296
1526716851.45,0.25204497551265975,1.4977540060147065,-0.13870000839233404,-0.17999999821186063,-0.09549995422363268,0.057040001153945925,0.017540000081062317,0.005139999985694886,0.04687429238438899,0.02951245652999223,0.0002043051282870959,-0.005142013035536181,8.972723515736011e-05,-0.0025385374814537974,0.005421271572994931,-0.006412078213633215
