,robotiq_force_sensor.wrench.force.norm.dividedby10,robotiq_force_sensor.wrench.torque.norm.dividedby0.4,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0,baxter_enpoint_pose.twist.linear.norm.dividedby0.4,baxter_enpoint_pose.twist.angular.norm,baxter_enpoint_pose.twist.linear.x,baxter_enpoint_pose.twist.linear.y,baxter_enpoint_pose.twist.linear.z,baxter_enpoint_pose.twist.angular.x,baxter_enpoint_pose.twist.angular.y,baxter_enpoint_pose.twist.angular.z
1526716357.89,0.46091255309492724,0.5872971880900452,-0.13689999580383297,-0.26639999747276305,0.31119995117187504,0.023199999630451208,0.0009199999575503173,0.002120000012218952,0.03391473812291661,0.022875826104743105,-0.0065955025483969325,-0.004018649038108073,-0.0032772868244637446,-0.006660184293995705,0.009153807794073586,0.007320501247077342
1526716357.99,0.4741594029396318,0.5539719345652733,-0.13709998130798337,-0.23599999725818632,0.3663999938964844,0.021919999718666077,0.00017999998526647688,0.0022200000286102294,0.03902169360408141,0.02447489011201162,-0.00866122176986727,-0.002036626694630704,-0.004323213007213833,-0.007217790805461918,0.014613168039006072,0.007609788514726416
1526716358.09,0.4798723355913141,0.5705194635256998,-0.13449997901916502,-0.2869999974966049,0.3539999389648438,0.0225,0.001119999992661178,0.0027800000458955768,0.04447151330752172,0.02735034499661554,-0.012463444345972123,-0.000734971609386412,-0.007249860313988351,-0.002727482696023259,0.021533255018416582,0.0043889543675667
1526716358.19,0.4434104931836414,0.5925939963497353,-0.12369997978210448,-0.27339999854564667,0.31659996032714843,0.023379999995231632,0.001720000016503036,0.002540000081062317,0.04271418078213453,0.02507862153747582,-0.004489097585481669,0.0035745025481894632,-0.003016238950201344,0.003156114821432446,0.00787105603609227,0.003726492476809966
1526716358.29,0.4254153138350703,0.6180205927507217,-0.14429999351501466,-0.2629999983310699,0.2895999145507812,0.024359999895095828,0.0026200000522658227,0.0026800000667572023,0.045297956719954416,0.023666012734372303,-0.004262290648840588,0.006153598357726199,-0.003316312970164625,0.004509478665780529,0.0073618207668648215,0.0022896586710993974
1526716358.39,0.4431867253701445,0.6280138434570854,-0.16070000648498534,-0.28639999985694886,0.28599990844726564,0.024699999988079074,0.00318000003695488,0.002860000059008599,0.04036646317487784,0.022264638784615456,-0.001312969613791329,0.010438757396572854,-0.001172624510379371,0.009451266045707887,0.001730346824149789,0.004602074612232529
1526716358.49,0.44082854805975974,0.64987250868973,-0.16550002098083494,-0.30920000016689303,0.26379989624023437,0.025500000119209294,0.00398000005632639,0.002760000042617321,0.044713557138462694,0.026577557014530115,0.002591498828981808,0.004547687238578141,0.00021946888860400625,0.009967191198030224,-0.00476355943011794,-0.00410653139444927
1526716358.59,0.4535182505899461,0.6175931400907801,-0.1429000377655029,-0.31499999940395357,0.28279991149902345,0.024120000004768376,0.0033800000324845317,0.003660000041127205,0.04114853478392683,0.022892667336881122,0.004350729908177387,0.004652817559629186,0.00239588687466734,0.006413346714821832,-0.009247622275496836,-0.0010079936224595292
1526716358.69,0.4434835232034836,0.6098940890560832,-0.10110003471374507,-0.2889999994635582,0.3025998687744141,0.023840000033378606,0.0027800000086426737,0.003840000033378601,0.03847697594488058,0.023324427021591685,0.0032781069607938276,0.005467494633852003,0.00010043827194356402,0.004369131852041276,-0.006943024526249503,0.004637279820721879
1526716358.79,0.46806578792024545,0.5991780847870941,-0.1155000305175781,-0.2943999996781349,0.32639991760253906,0.02332000017166138,0.0028200000151991844,0.004400000013411045,0.04143911987461957,0.032839672109248555,0.006738097926044099,0.00314602836552048,0.0022258498092000358,0.008513931915038802,-0.013333977768016682,-0.004028923513273374
