,robotiq_force_sensor.wrench.force.norm.dividedby10,robotiq_force_sensor.wrench.torque.norm.dividedby0.4,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0,baxter_enpoint_pose.twist.linear.norm.dividedby0.4,baxter_enpoint_pose.twist.angular.norm,baxter_enpoint_pose.twist.linear.x,baxter_enpoint_pose.twist.linear.y,baxter_enpoint_pose.twist.linear.z,baxter_enpoint_pose.twist.angular.x,baxter_enpoint_pose.twist.angular.y,baxter_enpoint_pose.twist.angular.z
1526716017.39,0.28182097022065744,0.4386167704086041,0.005900011062622071,-0.2207999986410141,-0.13390007019043,0.009939999878406526,0.013020000010728838,0.0062200000137090684,0.02905055550331559,0.025110357232621238,0.0061120965418625375,-0.005636355659246638,0.0034639103934753696,-0.0014482085485635478,-0.013592835278298337,-0.010579569353625595
1526716017.49,0.24848182771426375,0.43572456608766363,0.04910001754760743,-0.1811999985575676,-0.13230003356933623,0.009959999918937684,0.012999999970197679,0.0058999999612569815,0.03561893211773737,0.027967068823030943,0.0049587605905809795,-0.0039269974163119665,0.0018164506226334698,0.0011622037147035794,-0.01139998698067498,-0.007613921269207612
1526716017.59,0.2228194977860676,0.42172283662012944,0.09070000648498534,-0.14699999928474428,-0.12790000915527372,0.009699999988079073,0.01269999995827675,0.005259999930858612,0.028761987470440033,0.022534123406443417,0.0008218090816519894,-0.0038896853332404837,-0.0008766923214073908,0.001983484029297891,-0.0028243068671523893,-0.007514173453107416
1526716017.69,0.186152250510416,0.4117318607272535,0.08610001564025879,-0.11239999890327454,-0.10330001831054716,0.00951999992132187,0.012600000053644181,0.004579999968409538,0.025831438533032165,0.0194379589229155,0.00252920531120358,-0.001645699120088239,-0.0005761148889361208,0.004330288690922692,-0.004413574973714142,-0.0024559171903230223
1526716017.79,0.14169976031866194,0.4071445023407735,0.061700019836425785,-0.07180000066757203,-0.08470001220703154,0.009580000042915345,0.01254000023007393,0.003959999978542328,0.04002138145467479,0.02614609326315028,0.003750353328348906,-0.006183579069979651,0.003084297794349439,0.003933243284229721,-0.01028945036546743,-0.0058982461912177025
1526716017.89,0.14129111244765308,0.4117643358589834,0.047500019073486326,-0.08399999856948853,-0.07750007629394559,0.009640000015497207,0.012720000147819521,0.003999999985098839,0.04319774705181129,0.026067523563290076,0.002825259595011753,-0.0027713844998844693,0.0035932783930292993,0.0015505055134859666,-0.00785614524694184,8.306856851059662e-05
1526716017.99,0.14118777973163715,0.41064729058634675,0.03770000457763672,-0.09299999952316285,-0.07210006713867216,0.00972000002861023,0.01272000014781952,0.0036400000005960462,0.04328031140825114,0.02711039467940219,0.002402344777976948,-0.002683064502413792,0.0040676330210762945,-0.0045658748995993,-0.006459672574044842,0.0036495015765592286
1526716018.09,0.14494419252446492,0.4159203392608817,0.016700019836425783,-0.11019999861717225,-0.06350006103515654,0.009860000014305115,0.012820000052452088,0.0038599999994039535,0.04261782677185905,0.02532116324840977,0.0029886357971426404,-0.002407015901956574,0.003684939359514504,-0.0029985567513228575,-0.0075717116357006285,0.003825306886643826
1526716018.19,0.17525612946043428,0.412360215017868,0.02270000457763672,-0.15939999997615817,-0.05030006408691435,0.009660000056028368,0.012640000134706498,0.004219999983906746,0.0433759660320464,0.02890564164413529,0.002130141155774489,-0.00027676505467156534,0.005186540802547516,-0.006040127386137071,-0.008037228196809968,0.00850332150820295
1526716018.29,0.2394610757548848,0.427910854938357,0.024099998474121097,-0.21519999831914904,-0.08650009155273466,0.010080000013113023,0.012920000106096268,0.004819999933242798,0.02719565699345614,0.021815245006078062,-0.0009552079955800884,0.004884194621019461,0.00023406861840565452,-0.0029624755650469003,0.00029147896000872775,0.013230028066501025
1526716018.39,0.24974110377661848,0.4242988427397698,0.02930000305175781,-0.22340000003576282,-0.09110008239746123,0.010080000013113022,0.012740000188350678,0.004799999967217446,0.02886430564139052,0.02489734367589017,0.0007171686646409356,0.0015167123241550888,0.002866293482728076,-0.0035845829458627174,-0.005425870573179393,0.0045020433819042945
1526716018.49,0.25357525308649154,0.42040906034378084,0.01330000877380371,-0.2237999996542931,-0.10090011596679717,0.009919999986886979,0.01262000009417534,0.004939999952912331,0.02808602170905323,0.020892490323792513,0.003673212756821228,0.0016753145763979407,0.005219188206820866,-0.002881506323862287,-0.012179146005659478,-0.0015579419093228086
1526716018.59,0.2382482435145666,0.4182379858494839,0.013499994277954102,-0.19900000065565115,-0.11270011901855498,0.009959999918937684,0.012540000081062319,0.004719999954104424,0.03143124903785349,0.024385121225615498,0.005329376447125378,0.0044554002904668285,0.007524600895783024,-1.6775139270712707e-05,-0.016201138869777552,-0.002070367815455044
1526716018.69,0.22510770870652302,0.41769496724799177,0.00890000343322754,-0.18400000005960465,-0.12030006408691436,0.009999999850988388,0.012479999959468843,0.004719999954104423,0.034699306148234264,0.023677058922429717,0.0018383424678935466,0.005338117873641671,0.002925510809381076,0.003706856732034225,-0.007188858263891179,-0.004352788009024137
1526716018.79,0.1611474346123908,0.4073780472234555,0.0205000114440918,-0.12960000038146974,-0.08370010375976591,0.009539999812841416,0.012259999811649325,0.004779999926686287,0.039668956841081626,0.022542844641251704,0.0015536817376242983,0.0026658600876945625,0.0023296529244123693,0.001029168623419438,-0.0067350319200868945,-0.004147842212077171
1526716018.89,0.1974225590197774,0.4114576635491834,0.024099998474121094,-0.16459999918937684,-0.09410011291503935,0.009519999772310259,0.01227999970316887,0.005259999930858613,0.038124531446004174,0.019705657140662924,-0.001849075259916066,0.0015440046878390165,-0.003077543184903102,-0.001270896439351181,0.004535369774786972,-0.0024913803005440858
1526716018.99,0.20539146534517908,0.4140023673808322,0.06550000190734863,-0.15679999947547912,-0.08930007934570341,0.009639999866485598,0.012319999784231187,0.005259999930858613,0.04054705987720027,0.04750068099187433,-0.00444647459206201,-0.002470162261913423,-0.006849674805919902,0.0008714416219975732,0.014318978929532822,0.02835446878083228
1526716019.09,0.2413443572737285,0.42795507880417727,0.10710000038146973,-0.18519999861717226,-0.06290008544921903,0.010240000039339066,0.012259999811649323,0.005979999974370004,0.06869056878598571,0.06389006429800255,0.0037196532011252673,-0.011849846441557121,-0.001980572204373224,0.004202055661180733,-0.0005690621952445414,0.03584380279328798
1526716019.19,0.24227186132810252,0.42914894192305825,0.13210000038146974,-0.17279999852180483,-0.03670013427734403,0.010720000118017199,0.012059999853372574,0.0055799999833107,0.12571396348313812,0.08172956816374287,0.015140271222908596,-0.03792246744000796,0.00719564954655574,0.020021340060485733,-0.016164659079810954,0.04806504515634019
1526716019.29,0.27313502602379097,0.43907320594505106,0.16569998741149902,-0.18199999928474425,-0.021700134277344036,0.011460000276565553,0.012140000015497207,0.005140000060200691,0.20314232670821658,0.11624629085111343,0.028081283656869314,-0.06681364224969877,0.011978626668881377,0.04744680211832934,-0.03400214498341714,0.06526995305915385
1526716019.39,0.26283910229652396,0.44371119441429485,0.13109999656677246,-0.17219999939203262,-0.013700103759765912,0.012160000205039979,0.012000000029802322,0.004600000008940697,0.325241337649972,0.1268770108526917,0.035175625583216116,-0.11677790408225323,0.010678607163344265,0.05332262037068431,-0.04435036137243364,0.0817447661475933
1526716019.49,0.25383993396760723,0.4695855326265526,0.09409999847412111,-0.18439999967813492,-0.00870010375976591,0.01240000009536743,0.012759999930858612,0.0055600000172853475,0.4453936541862261,0.11294000230405528,0.03564318649931371,-0.16646087391149716,0.01039887007751051,0.057648806163053595,-0.05168697742869041,0.03662478722968637
1526716019.59,0.25872785944734555,0.47628689719973066,0.04770000457763673,-0.1638000002503395,-0.07810009002685575,0.011700000017881393,0.013619999885559082,0.005700000002980233,0.49926950002931425,0.13022071121967568,0.022149919726505696,-0.19224238305260188,-0.007117334401515606,0.08448523738445476,-0.030710149173235588,0.00897121075311419
1526716019.69,0.28368286389183195,0.48699953013663577,0.01050000190734864,-0.18640000134706497,-0.1341000747680667,0.011420000046491623,0.014259999990463257,0.00619999997317791,0.4960842808744337,0.12563903200114945,0.013097020410256411,-0.19342074750055732,-0.014545490059926898,0.06366226460479056,-0.026216041340818484,-0.0231492940294092
1526716019.79,0.3283010802615157,0.47795791873713184,-0.05049999237060547,-0.2393999996781349,-0.19050006866455105,0.010739999860525134,0.013879999965429306,0.00711999997496605,0.4538851969455998,0.09834884754723033,-0.003569135679341482,-0.1775779413250313,-0.023206637383451568,0.04039631149233025,-0.0030986619993394783,-0.0440873362291931
1526716019.89,0.315055924585329,0.4882486693757106,-0.021899986267089843,-0.23059999972581863,-0.1789000320434573,0.009979999959468843,0.014780000001192093,0.0077599999308586125,0.34669948128583106,0.10106114691519956,-0.018011972547511995,-0.12871530356583333,-0.02212640687049629,0.035952811531401854,0.02086186856156344,-0.053019706914348555
1526716019.99,0.33147426801682256,0.4732701563804548,-0.013699979782104493,-0.23619999915361403,-0.20070003509521514,0.009679999947547913,0.014319999963045123,0.007519999891519547,0.22719732239640805,0.087315223643348,-0.017808123285061168,-0.076918700432564,-0.022909481046894574,0.032538550496801065,0.022195253083021924,-0.03822873588160993
1526716020.09,0.3090319178016466,0.46056707420889376,-0.002299985885620118,-0.2557999983429909,-0.14330001831054714,0.00951999992132187,0.013660000115633012,0.0076999998092651374,0.1537021145982274,0.06299265793072953,-0.008672208931573788,-0.041413806985645354,-0.014132965408287184,0.00690479530366297,0.007962496136517776,-0.0188685648581939
1526716020.19,0.289701417485427,0.4557745617336616,0.012300014495849613,-0.25279999762773514,-0.11209999084472685,0.00911999985575676,0.013419999927282334,0.00815999984741211,0.10199887569916291,0.050163543304473354,-0.00852192675167695,-0.01163621453364465,-0.011550178070041649,0.010090986463999769,0.01498519350082877,0.004859396395190642
1526716020.29,0.24627779441414888,0.449688411927467,0.04250000953674317,-0.22599999815225602,-0.07089996337890654,0.008699999898672105,0.013479999899864198,0.00803999975323677,0.06764001429727412,0.052126440396903576,-0.002099394377635882,0.005121911193969198,-0.004485568021516218,-0.0023628651064120662,0.0069318799056060166,0.014765167254984349
1526716020.39,0.2136194745538855,0.4328568122466732,0.04764000415802002,-0.15841999848932029,-0.05363999938964866,0.008639999926090242,0.012659999877214435,0.008019999861717225,0.05295153407826953,0.03975313023493439,0.006182683589793013,0.010698448292842243,-0.002947597804617919,-0.002532648053031223,-0.007390962628486576,0.014603489008150236
1526716020.49,0.17374220981599672,0.428379382889202,0.03378000259399414,-0.12943999867141248,-0.01717997741699236,0.008419999927282335,0.01251999989151955,0.008099999874830247,0.051749805782711544,0.04092092460411925,0.0067109660096685625,0.012957632093231773,-0.0014569001283032737,-0.004569706485533234,-0.005857816888081058,0.017948964993952654
1526716020.59,0.16760174842784856,0.4282110230095299,-0.0028799867630004868,-0.09525999964028599,-0.040919998168945426,0.00873999997973442,0.0125799997150898,0.007539999932050705,0.04618630303483938,0.03283870156011894,-0.00152604607151627,0.008712716912524085,-0.0004025245084452137,-0.012035143059572593,0.011780950577778773,0.01771666994402966
1526716020.69,0.16683166085500978,0.41935400980589344,-0.028939990997314452,-0.09108000060915947,-0.03566000366210943,0.008640000075101854,0.012319999784231187,0.0072999998927116404,0.042416357559680304,0.03422733909142438,0.00012363391468192346,0.007127856932810874,-0.002932064214843528,-0.009775320375899482,0.008898306616091447,0.019319908393915113
1526716020.79,0.15689752385496541,0.41959994138639495,-0.049599986076354984,-0.07690000157803296,-0.04300003051757813,0.008680000007152558,0.012319999784231187,0.0072800000011920924,0.04171959414151117,0.029392230525821118,-0.002481494396274358,0.00346271995476867,-0.004261481404157431,-0.0064093060304241285,0.012380694427482195,0.013729497136319125
1526716020.89,0.17248665438096136,0.4276295947568506,-0.07299998760223389,-0.12170000176876783,-0.07300003051757813,0.008700000047683716,0.012519999742507934,0.007639999985694886,0.03653486252625664,0.026023301034088002,-0.003496501759969642,0.00043041626396210736,-0.0023687728037539504,-0.0054734132923043395,0.010332902453916819,0.0062102848197552575
1526716020.99,0.18395033578360492,0.42458338297616455,-0.0871999979019165,-0.12250000160187484,-0.0814000701904297,0.008800000101327896,0.012439999878406525,0.007380000054836274,0.04119244250821755,0.028632671118355043,-0.0029344788308636994,0.0030947516640095546,-0.0010749172236822605,-0.004600305515116787,0.009956002796418863,0.009593309305308592
1526716021.09,0.17414581946923186,0.4203355251763196,-0.028799996376037605,-0.10390000026673078,-0.048800048828125005,0.008320000022649767,0.012199999988079071,0.00800000011920929,0.03644931091704713,0.026706880450040698,0.0012980875369204747,0.00595215865542828,0.0015682777169902394,-0.002385069649054405,0.0013223517526495623,0.01281170245302948
1526716021.19,0.14876803651995876,0.42295896000611305,0.007000012397766101,-0.06290000002831221,-0.04740005493164064,0.008419999927282335,0.012300000041723252,0.007960000187158586,0.04385820579953512,0.028796283570834705,0.0028228396581902546,0.002063530047296173,0.0073676348896762785,-0.00447065245177969,-0.006826246072438398,0.006978031801173128
1526716021.29,0.12692789025270174,0.4212956367186451,0.02480000972747802,-0.022499999217689026,-0.028000030517578132,0.008400000035762788,0.012460000067949294,0.007560000121593476,0.038243014080347006,0.024655207139735312,0.003353847778902488,0.004138491510673536,0.0060063353647415805,-0.00017506584249992602,-0.007530992193632294,0.007019606099256413
1526716021.39,0.10228691715177804,0.41293623617467007,0.029000010490417474,-0.0034999994561076136,-0.010200042724609375,0.008260000050067901,0.012240000069141388,0.007340000122785568,0.0395973900380423,0.026029295388332565,0.005794733379277389,0.0042705947532285906,0.0045044463820661275,-0.0023414891155866652,-0.011026264960031467,0.012542933629204535
1526716021.49,0.09398447396187926,0.4060653208781587,0.036000018119812,-0.0002999995276331893,-0.0028000640869140633,0.008200000077486037,0.012199999988079071,0.006660000085830689,0.03661642577034273,0.025853187765783076,0.004405472381742867,0.002407861775583941,0.0033599670938834103,0.0018232174691291169,-0.010040425926517356,0.006016082995231636
1526716021.59,0.08791504935074633,0.40363826476572384,-0.010999979972839358,-0.029500000886619093,-0.003600082397460938,0.00828000009059906,0.012280000001192093,0.006239999979734422,0.039715151175914655,0.026637213632251463,0.003214045750265845,0.004572200029561294,0.003693528516575166,0.003504274375805737,-0.006858594396027735,0.00786775478975545
1526716021.69,0.10355879892102865,0.4045004377383161,-0.05339998722076417,-0.04590000074356795,-0.012600097656250002,0.00848000004887581,0.012380000054836273,0.00585999995470047,0.03288821578056192,0.020491450006601606,0.0010953304327531777,0.00787512082517047,0.0009841495020462686,0.006534202581655975,0.00022772702186704252,0.008318215872745342
1526716021.79,0.1233535107419387,0.4081585494206908,-0.08019998073577882,-0.06690000098198653,-0.04020011901855469,0.00876000002026558,0.012479999959468841,0.00561999998986721,0.03764556147094644,0.023209985948706234,0.002697678231291914,0.010020332341785048,0.002683476197485801,0.010496023446656767,-0.003900715194801491,0.007653646643412545
1526716021.89,0.1977247788586824,0.41804366731127357,-0.10459998607635498,-0.10429999988526106,-0.10440010070800781,0.009120000004768373,0.01280000016093254,0.005560000017285347,0.03557965650533074,0.022501223560244456,0.002004087011834692,0.010135787744752753,0.003997378552086563,0.010442512143433814,-0.002850616287804771,0.007205803603213175
1526716021.99,0.20490334546902364,0.4346767523261469,-0.08799999713897705,-0.11629999976605179,-0.11660011291503906,0.009500000029802322,0.01310000017285347,0.00630000002682209,0.03380636356932768,0.020247368985319394,0.0052089308396023205,0.008436147096551943,0.008165896067392257,0.006266295286480074,-0.010534507981690967,0.008332394512930105
1526716022.09,0.20514710957423588,0.43578013611146255,-0.08980000019073486,-0.09849999945610764,-0.1378001403808594,0.009539999961853028,0.01320000022649765,0.006160000041127205,0.03791003114458507,0.021141607097268006,0.005707638084308435,0.010489708650224389,0.005764017247337607,0.007882893630399563,-0.01047388968348851,0.007921699352139178
1526716022.19,0.2070536284534941,0.42598196866714205,-0.050199999809265136,-0.08709999959915878,-0.15520011901855468,0.00934000000357628,0.012660000175237655,0.006440000012516977,0.04640543516039661,0.02444931822028147,0.007790927846582459,0.012187596147525192,0.008002601722769564,0.006732180203855387,-0.014362993148174411,0.0085637398144277
1526716022.29,0.21585136392064375,0.4293178385734818,-0.056600003242492675,-0.08909999947994948,-0.16100006103515627,0.009360000044107438,0.012680000215768815,0.006759999990463258,0.041911485165387265,0.021450612827018326,0.0068757874698975475,0.011072739676822778,0.006871938142591232,0.0029396680616445786,-0.01095433828227524,0.009986920610841624
1526716022.39,0.1677558870527017,0.4299060502710023,-0.024399991035461425,-0.04550000052899122,-0.13400009155273437,0.009239999949932099,0.012680000215768815,0.006959999948740006,0.05703254433623126,0.027095002745542683,0.0013582811058943751,0.006965115327256667,0.0033116540658033418,0.0040544074604780215,-0.0013555325895701301,0.004409202362137991
1526716022.49,0.19350944415934437,0.4302832647205396,-0.0157999849319458,-0.014700001291930671,-0.17040004730224612,0.009799999892711641,0.012180000245571136,0.006959999948740006,0.060294316884756144,0.03021516462788601,-0.0001352897884530789,0.009979518541895958,0.0016291031645930107,0.0023810342330704616,0.003124233195797141,0.011130026495112784
1526716022.59,0.21457667604092545,0.4394752250251596,0.016800007820129394,-0.010700001530349251,-0.19400001525878907,0.010619999915361406,0.012040000110864639,0.00688000001013279,0.05906380820729025,0.03248653896382077,0.0010894089295758744,0.0059477314549883035,0.006214729600010563,-0.005800510826281565,-0.0008661340499063921,0.013503535181639404
1526716022.69,0.2504388503602345,0.4597631853622305,0.017400002479553225,-0.027300001643598075,-0.22880001068115235,0.010939999967813493,0.012740000188350677,0.007200000062584878,0.053107749604588916,0.03238327646929332,-0.004442303129027441,0.0037886485959103657,-0.0019529413833149281,-0.004010537833225223,0.011739239764509163,0.012638860058475192
1526716022.79,0.22248572835162064,0.46417845836657967,0.03700001239776611,-0.025700001977384083,-0.20500003814697262,0.010999999940395355,0.01272000014781952,0.007580000087618828,0.06119999381017782,0.03873025474531381,-0.00551836477420467,-0.0007053279930540925,-0.0016958424599697913,-0.005886945763959988,0.011450248865673612,0.004809929259910626
