,robotiq_force_sensor.wrench.force.norm.dividedby10,robotiq_force_sensor.wrench.torque.norm.dividedby0.4,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0,baxter_enpoint_pose.twist.linear.norm.dividedby0.4,baxter_enpoint_pose.twist.angular.norm,baxter_enpoint_pose.twist.linear.x,baxter_enpoint_pose.twist.linear.y,baxter_enpoint_pose.twist.linear.z,baxter_enpoint_pose.twist.angular.x,baxter_enpoint_pose.twist.angular.y,baxter_enpoint_pose.twist.angular.z
1526717416.95,0.1485255764654494,0.3965326646342935,0.0570999908447266,-0.08089999973773955,0.05439994812011733,0.008020000010728836,0.011220000088214874,0.00772000014781952,0.04141654748509699,0.030292975710120282,-0.000513158254138917,-0.002168494349488953,0.0010392449456314528,0.0024206855922588324,-0.00019255122767340444,-0.006670680589670685
1526717417.05,0.10346122042460791,0.40260570603694995,0.017299995422363316,-0.06249999821186064,0.024599990844726704,0.008340000063180924,0.011400000154972076,0.007580000087618829,0.04092606169981733,0.03224976665508723,7.027253392561544e-06,-0.004582235861914483,0.0008490333866630202,0.0013782516152938298,0.00020960562052156411,-0.010461924503751704
1526717417.15,0.09609406599099787,0.38437998029852355,0.025699977874755895,-0.04789999783039092,0.0516000366210939,0.00802000015974045,0.011260000169277192,0.006400000005960464,0.03472313785766487,0.029172068534333424,0.003341900680610867,-0.000763795543187611,0.002321536172249252,0.004825243024539089,-0.004972686327706861,-0.006053148079264685
1526717417.25,0.0801330454181832,0.3799109816566887,0.012299976348876987,-0.04869999706745146,0.01040000915527358,0.008260000199079513,0.011100000143051148,0.005879999995231628,0.025643715931672945,0.02346528967702798,-0.00047907937603576187,-0.003399908240662939,0.00018070568722004224,0.004687589739561198,0.0014006267926641755,-0.01592967368680761
1526717417.35,0.08997656605195237,0.37368288229752133,-0.0025000190734862943,-0.048299997448921196,0.029800033569336082,0.008020000159740448,0.010960000157356264,0.005839999914169312,0.02206248049438677,0.020660911473817628,0.001980058537463747,-0.0005386976370597638,0.003806873199582143,0.0041566529122955866,-0.003403927534424316,-0.005874765407309847
1526717417.45,0.09275530862016249,0.38037265691477806,0.001899986267089879,-0.042499998211860644,0.03520004272460952,0.008340000063180924,0.011440000236034392,0.005399999916553497,0.022578167053793254,0.022847512633534177,0.0044704080212289365,-0.00170568604947768,0.004701367452693799,0.0021147018112372636,-0.007328712119272293,-0.009041089250392754
1526717417.55,0.09343312552421527,0.3776882570229617,0.006899986267089879,-0.04429999887943267,0.03620002746582046,0.008320000022649765,0.011320000141859056,0.005379999950528145,0.03260103967019832,0.026187710166482442,0.003828901194742681,-0.006306797004879744,0.002594389777980509,-0.0025812951072829646,-0.005345205998582547,-0.011636226262559063
1526717417.65,0.0982747168969983,0.39213436654390615,-0.017100009918212856,-0.046099999547004694,0.030600051879882958,0.008599999994039535,0.011679999977350235,0.005879999995231628,0.036232010250209584,0.026720701646197796,0.0013798524063663058,-0.009647191367496926,0.0015033646956593412,-0.005685877146856259,-0.0020825637608451633,-0.013322924352677411
1526717417.75,0.11352939691477784,0.40357781035658047,-0.050100011825561494,-0.055100000500679,0.0678000640869142,0.008699999898672105,0.012080000042915345,0.006199999973177911,0.039864972810715237,0.027963206935105036,0.00250747685915807,-0.008145036800998625,0.003546376353442701,-0.007543989337290933,-0.0038117377213551197,-0.005128627838280965
1526717417.85,0.11033041473868702,0.4048241101226516,-0.04830000877380367,-0.05790000021457671,0.05820007324218764,0.008619999885559082,0.012040000110864639,0.006460000053048135,0.04382419461352377,0.031709726136556524,-0.0009752265393887379,-0.011181345278299924,0.0012276114134802851,-0.009151814143379369,0.0036294491337294454,-0.013649287322944209
