,robotiq_force_sensor.wrench.force.norm.dividedby10,robotiq_force_sensor.wrench.torque.norm.dividedby0.4,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0,baxter_enpoint_pose.twist.linear.norm.dividedby0.4,baxter_enpoint_pose.twist.angular.norm,baxter_enpoint_pose.twist.linear.x,baxter_enpoint_pose.twist.linear.y,baxter_enpoint_pose.twist.linear.z,baxter_enpoint_pose.twist.angular.x,baxter_enpoint_pose.twist.angular.y,baxter_enpoint_pose.twist.angular.z
1526717398.44,0.12210811030959497,0.44875193120055396,0.032700004577636756,-0.06489999949932099,0.025199966430664203,0.008879999965429305,0.013059999942779541,0.008419999927282333,0.025716117024320747,0.01938109963375585,0.0026719030943585962,0.003107111838906656,-0.0017767454892182448,0.0023667077207418265,-0.0018397647647847846,0.0017812513933519606
1526717398.54,0.12383888519694025,0.4426338114173112,0.043500003814697305,-0.07089999854564666,0.021399993896484518,0.008719999939203263,0.012960000038146973,0.008199999928474427,0.024474798713592552,0.01917133136129218,0.002884096522790961,0.0027558388907592043,0.0006469922362535186,0.003761202834647983,-0.0048553597111584265,0.001559866728895823
1526717398.64,0.11987316878421399,0.43925120502721515,0.01989999771118168,-0.0839000004529953,0.00599998474121108,0.008879999965429305,0.013040000051259996,0.007699999958276749,0.018065622593898732,0.016119084235188364,0.00010881450535363735,0.0020097957277246136,-0.001181486605426122,0.0015696204176620298,0.0007517796673727141,0.0017898114377544975
1526717398.74,0.1039522163158823,0.43278874618823915,0.0290999794006348,-0.06910000145435333,0.036600036621093894,0.008639999926090242,0.012740000039339066,0.007839999943971634,0.025281726911011874,0.021693072957599938,0.0011509444126508554,-0.0002718453351541164,0.0016255437885587625,-0.0032361758205769063,-0.001633262674157639,-0.001156750222378859
1526717398.84,0.1203506122260399,0.42409551734579204,0.049099979400634805,-0.08550000250339507,0.023400039672851702,0.008339999914169312,0.01252000004053116,0.0077599999308586125,0.03077283615242686,0.022058691049197766,-0.0015441257084795037,-0.007477059296835416,0.004724230008976486,-0.0088828806126612,0.0012791060500125227,-0.008140465821731531
1526717398.94,0.14468390368525175,0.4212037501566463,0.05369998931884769,-0.11010000228881836,0.030999984741211076,0.008139999955892563,0.0125,0.007759999930858612,0.03741880646517978,0.025250091588966433,0.0010264305208128365,-0.007678777618504332,0.008024337825322926,-0.008910486875516932,-0.005847055335671904,-0.0061165476137909425
1526717399.04,0.1762012407870639,0.4281312502668524,0.060699977874755895,-0.15170000165700914,0.012999954223632955,0.008359999954700471,0.012520000040531158,0.008119999915361404,0.04547397931745001,0.028314450007924173,-0.001012365450256588,-0.012607143828053755,0.005980130146296568,-0.01641622498316361,-0.002235441418087655,-0.010628778784970056
1526717399.14,0.2250893632988305,0.451806880401379,0.07269998550415044,-0.1769000007212162,-0.0498000335693358,0.008819999992847443,0.012959999889135359,0.008919999897480012,0.05275041748349798,0.030682233264701854,-0.0009484218867867521,-0.010194289958100084,0.0031324981775874058,-0.012401638803327746,-8.767155206041398e-05,-0.007120552827228903
1526717399.24,0.27668133184590066,0.4609290229934454,0.04789999008178715,-0.23369999900460242,-0.07240005493164049,0.009099999964237214,0.013340000063180923,0.00883999988436699,0.050634060317348156,0.030935761446215557,0.0002661024521348728,-0.007970441924358588,0.001628711558551999,-0.00528792708794854,-0.0037359515907478963,-0.0037110844923819073
1526717399.34,0.24727511043681746,0.4680567927283731,0.03529998779296879,-0.20149999871850013,-0.08160003662109362,0.009299999922513964,0.013519999980926515,0.008959999978542329,0.038712695854726906,0.02629129707583168,0.0019012568949377529,-0.002307487485320246,0.0007769579090499073,0.001987971852151106,-0.005914037356518665,-0.0010884314160078067
